sz159998	计算机	　1.019	+0.003	+0.295%	1.019	1.020	1.016	1.016	1.022	1.010	442,791	4,508.98		基金吧
sz159997	电子ETF	　1.045	0.000	0.000%	1.045	1.046	1.045	1.043	1.048	1.035	601,617	6,269.80		基金吧
sz159996	家电ETF	　1.034	+0.011	+1.075%	1.034	1.035	1.023	1.026	1.037	1.023	547,656	5,655.22		基金吧
sz159995	芯片ETF	　1.111	+0.011	+1.000%	1.111	1.112	1.100	1.097	1.114	1.091	8,691,387	96,036.11		基金吧
sz159994	5GETF	　0.966	+0.003	+0.312%	0.965	0.966	0.963	0.965	0.971	0.956	1,910,202	18,422.95		基金吧
sz159993	龙头券商	　0.936	+0.012	+1.299%	0.935	0.936	0.924	0.926	0.942	0.924	669,220	6,256.72		基金吧
sz159992	创新药	　1.130	+0.022	+1.986%	1.129	1.130	1.108	1.108	1.132	1.106	1,338,184	15,058.71		基金吧
sz159991	创大盘	　1.111	+0.012	+1.092%	1.111	1.112	1.099	1.098	1.115	1.096	50,684	562.40		基金吧
sz159990	小盘价值	　0.977	+0.008	+0.826%	0.977	0.979	0.969	0.973	0.979	0.972	54,867	534.60		基金吧
sz159988	粤债ETF	　0.994	-0.002	-0.201%	0.991	0.994	0.996	0.993	0.996	0.993	460	4.57		基金吧
sz159987	创新ETF	　1.216	+0.013	+1.081%	1.214	1.216	1.203	1.209	1.218	1.203	192,565	2,330.38		基金吧
sz159986	消费100	　1.122	+0.011	+0.990%	1.122	1.123	1.111	1.129	1.129	1.110	68,035	759.02		基金吧
sz159985	豆粕ETF	　0.979	+0.003	+0.307%	0.978	0.979	0.976	0.977	0.980	0.976	224,925	2,199.32		基金吧
sz159984	湾区基金	　1.035	+0.007	+0.681%	1.034	1.035	1.028	1.023	1.035	1.023	62,724	647.06		基金吧
sz159983	大湾区	　1.095	+0.012	+1.108%	1.095	1.096	1.083	1.083	1.096	1.083	103,866	1,135.30		基金吧
sz159982	中证500	　1.072	+0.008	+0.752%	1.072	1.073	1.064	1.066	1.074	1.064	157,288	1,678.80		基金吧
sz159981	能源化工	　0.841	-0.007	-0.825%	0.840	0.841	0.848	0.848	0.848	0.835	33,193	278.68		基金吧
sz159980	有色期货	　0.946	+0.004	+0.425%	0.945	0.946	0.942	0.945	0.950	0.944	880,427	8,338.78		基金吧
sz159979	湾创100	　1.028	+0.008	+0.784%	1.027	1.028	1.020	1.019	1.028	1.017	20,390	208.98		基金吧
sz159978	湾区ETF	　1.084	+0.013	+1.214%	1.083	1.084	1.071	1.069	1.084	1.069	167,966	1,811.69		基金吧
sz159977	创业板TH	　2.174	+0.027	+1.258%	2.174	2.175	2.147	2.147	2.180	2.142	168,590	3,649.22		基金吧
sz159976	湾创ETF	　1.070	+0.007	+0.659%	1.068	1.070	1.063	1.064	1.070	1.062	239,378	2,554.65		基金吧
sz159975	深100SZ	　5.014	+0.031	+0.622%	5.014	5.016	4.983	4.989	5.029	4.981	20,147	1,008.65		基金吧
sz159974	央企创新	　0.863	+0.001	+0.116%	0.863	0.865	0.862	0.861	0.864	0.861	13,685	118.14		基金吧
sz159973	民企100	　1.303	-0.001	-0.077%	1.288	1.303	1.304	1.272	1.303	1.272	51	0.66		基金吧
sz159972	5年地债	　104.150	+0.009	+0.009%	104.155	104.190	104.141	104.200	104.290	104.150	1,239	1,291.17		基金吧
sz159971	创业板FG	　1.489	+0.014	+0.949%	1.493	1.496	1.475	1.490	1.490	1.489	14	0.21		基金吧
sz159970	深100ET	　4.839	+0.030	+0.624%	4.839	4.845	4.809	4.813	4.855	4.812	4,187	202.46		基金吧
sz159969	深100P	　1.228	+0.007	+0.573%	1.226	1.229	1.221	1.220	1.232	1.220	46,298	568.19		基金吧
sz159968	ZZ500ETF	　5.660	+0.033	+0.586%	5.660	5.665	5.627	5.627	5.669	5.621	187,427	10,586.92		基金吧
sz159967	创成长	　1.561	+0.025	+1.628%	1.560	1.561	1.536	1.541	1.564	1.527	111,863	1,740.56		基金吧
sz159966	创蓝筹	　1.524	+0.021	+1.397%	1.523	1.524	1.503	1.505	1.530	1.499	788,636	11,968.29		基金吧
sz159965	央视50	　1.156	+0.005	+0.434%	1.155	1.156	1.151	1.150	1.158	1.149	28,345	326.72		基金吧
sz159964	创业板PA	　1.290	+0.013	+1.018%	1.283	1.290	1.277	1.280	1.291	1.279	2,445	31.51		基金吧
sz159963	恒生中国	　0.966	+0.010	+1.046%	0.965	0.966	0.956	0.956	0.969	0.956	21,200	204.22		基金吧
